STATE,YEAR,POPULATION,URBAN,RURAL,Population Males,Population Females,Total Literacy,Male Literacy,Female Literacy,Literacy Rate,Male Literacy,Female Literacy,"Area
 (In sq. km)",TOTAL CRIMES,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES
MADHYA PRADESH,2009,70171051.8,19248953,50922098.8,36378575.2,33792476.6,47911391,28500431,19413102,68.28%,78.34%,57.45%,308252,415524,4772,4424,234,5996,2,5994,2072,1682,390,234,312,4540,21322,46520,21410,25110,4818,1150,3660,54,1482,74264,1716,12614,1456,7966,2,13182,202734
GUJARAT,2009,58485957,24382116.4,34103840.6,30470123.4,28015833.6,44693799,25808195,18900602,76.42%,84.70%,67.46%,196244,230366,2040,936,60,866,0,866,2696,2324,372,492,22,2840,8976,39338,22260,17078,3078,2512,2028,476,480,18912,48,1454,228,11012,0,10356,121516
Daman and Diu,2009,226238.4,157750.4,68488,138743.2,87495.2,194334,126134,67996,85.90%,90.91%,77.71%,111,552,10,8,2,2,0,2,0,0,0,0,0,8,66,82,54,28,58,16,8,6,6,28,0,8,2,6,0,80,156
Dadra and Nagar Haveli,2009,319065.2,138568.6,180496.6,179341.2,139724,233166,148495,83910,73.08%,82.80%,60.05%,491,884,20,10,2,8,0,8,24,18,6,18,0,4,86,126,42,84,106,34,40,2,10,46,0,4,2,6,0,34,302
MAHARASHTRA,2009,109275191.8,48874803.2,60400388.6,56674564,52600627.8,88869142,49849813,39028614,81.33%,87.96%,74.20%,307713,399196,5306,3760,196,2966,0,2966,2572,1852,720,1560,574,6628,31682,101860,36266,65594,16060,3790,15952,956,2210,56652,682,6392,2198,15362,0,24918,96920
ANDHRA PRADESH,2009,82906623,26737048,56169575,41659199.4,41247423.6,54584062,30858635,23739542,65.84%,74.07%,57.55%,275045,360882,4898,3718,268,2376,0,2376,3916,3052,864,204,54,1088,15544,49384,15608,33776,4522,1808,17056,922,2078,88976,1092,10294,7040,22594,0,26876,96174
KARNATAKA,2009,59446350,22493075.4,36953274.6,30153109.2,29293240.8,43809582,24494577,19320064,73.70%,81.23%,65.95%,191791,268084,3404,3214,158,1018,0,1018,1784,816,968,546,692,3650,13258,41152,22186,18966,12538,922,10158,342,586,40210,528,4372,128,6370,4,834,122216
GOA,2009,1436369.6,859566.6,576803,728761.6,707608,1255732,669703,586112,87.42%,91.90%,82.83%,3702,6010,106,48,22,94,0,94,66,44,22,8,0,60,588,1716,672,1044,100,104,264,54,48,382,6,74,20,42,0,440,1768
LAKSHADWEEP,2009,63708.4,45659,18049.4,32724.6,30983.8,57964,31114,26854,90.98%,95.08%,86.67%,30,268,0,2,0,2,0,2,0,0,0,6,0,0,2,20,10,10,88,0,0,0,4,28,0,0,0,0,0,0,116
KERALA,2009,33093123.6,14401325.8,18691797.8,15915652.4,17177471.2,30903683,15235736,15533244,93.38%,95.73%,90.43%,38852,236738,686,816,200,1136,0,1136,512,346,166,224,532,1660,7108,11128,4058,7070,16172,708,6788,132,1006,36548,40,5080,790,8014,0,82,137376
TAMIL NADU,2009,70198759.8,33430751.6,36768008.2,35190561.8,35008198,55292755,30222358,25087575,78.77%,85.88%,71.66%,130060,349382,3552,4650,52,1192,0,1192,2744,2266,478,194,68,2288,8442,31424,9946,21478,4794,430,5114,704,1160,36294,388,2484,1002,2920,0,27056,212430
PUDUCHERRY,2009,1193231.4,811926.2,381305.2,587401,605830.4,1013984,533278,480799,84.98%,90.79%,79.36%,490,9182,74,50,10,2,0,2,36,26,10,14,10,18,142,1422,1004,418,282,14,94,10,22,1802,0,106,32,20,0,466,4556
Andaman and Nicobar,2009,375695.2,138030,237665.2,200891.2,174804,321370,179657,141595,85.54%,89.43%,81.00%,8249,1882,30,8,8,36,0,36,32,28,4,0,0,22,172,268,20,248,22,14,40,4,24,178,2,60,14,42,0,4,902
Jammu and Kashmir,2010,12301541.8,3341581.6,8959960.2,6512688.4,5788853.4,8105486,4926849,3182075,65.89%,75.65%,54.97%,222236,46446,434,1422,52,490,0,490,1792,1680,112,12,0,122,2812,5020,1934,3086,4338,300,844,38,448,556,18,2076,524,422,0,988,23738
HIMACHAL PRADESH,2010,6785931.8,679254.9,6106676.9,3442479.7,3343452.1,5580275,3069969,2512437,82.23%,89.18%,75.15%,55673,26098,264,148,24,320,0,320,388,324,64,4,0,22,1486,1676,668,1008,1230,220,636,8,254,2748,4,700,156,550,0,1220,14040
PUNJAB,2010,27404904.1,10185482.5,17219421.6,14474023,12930881.1,20622464,11573284,9053168,75.25%,79.96%,70.01%,50362,73296,1814,1988,240,1092,0,1092,1578,1152,426,130,286,482,5322,10892,4934,5958,0,486,7054,150,202,9746,242,698,76,2326,0,6700,21792
CHANDIGARH,2010,1039968.5,1004664.6,35303.9,573290.5,466678,890431,513416,376777,85.62%,89.56%,80.74%,114,6746,42,60,18,62,0,62,76,56,20,10,12,134,472,2962,1796,1166,130,46,326,6,18,130,10,58,8,82,0,12,2072
UTTARAKHAND,2010,9213027.2,2783195.5,6429831.7,4692683.3,4520343.9,7201455,4085497,3120619,78.17%,87.06%,69.04%,53483,18480,352,438,120,242,0,242,572,498,74,24,4,324,620,4276,1742,2534,916,334,1134,66,34,1948,150,250,330,668,0,1476,4202
Hariyana,2010,24930772.2,8569423.1,16361349.1,13281655.9,11649116.3,18661680,11100675,7569246,74.85%,83.58%,64.98%,44212,118240,2010,1672,126,1440,0,1440,1926,1428,498,294,496,1468,8890,32532,22598,9934,2828,1838,3324,58,442,7466,568,952,1160,5440,0,3190,40120
Delhi,2010,16494197.6,16022587.1,471610.5,8849316.8,7644880.8,14147238,8015977,6129971,85.77%,90.58%,80.18%,1483,102584,1130,622,142,1014,0,1014,6416,3480,2936,64,62,1198,3004,46176,29932,16244,106,546,3690,66,104,3850,286,1202,160,2808,0,1828,28110
RAJASTHAN,2010,67344312.1,16664714,50679598.1,34937898.4,32406413.7,44179216,27571941,16638101,65.60%,78.92%,51.34%,342239,325914,2842,3114,208,3142,0,3142,5970,4954,1016,74,168,1744,9428,44648,26490,18158,1972,1578,33168,72,956,38494,924,4678,46,22290,0,15956,134442
UTTAR PRADESH,2010,196450899,43499514.9,152951384.1,102788995.9,93661903.1,130930595,78710674,52225877,66.65%,76.58%,55.76%,240928,348358,8802,8008,2802,3126,2,3124,12642,10936,1706,674,96,5154,9830,62306,36432,25874,8372,7634,19106,852,340,20672,4434,5586,22,15956,0,28944,123000
BIHAR,2010,101989357.7,11450394.4,90538963.3,53174720.8,48814636.9,61574035,37760433,24264292,60.37%,71.01%,49.71%,94163,254906,6724,5830,688,1590,0,1590,7348,5138,2210,1288,92,3076,6874,31088,8514,22574,17618,2142,6050,104,1320,30656,2514,1068,32,4542,16,11230,113016
SIKKIM,2010,603604.4,144207.2,459397.2,319611.4,283993,484368,273485,210709,80.25%,85.57%,74.20%,7096,1104,34,12,4,36,0,36,12,12,0,2,0,14,144,106,16,90,8,2,40,6,14,146,2,22,0,6,0,94,400
ARUNACHAL PRADESH,2010,1355151.1,308420.2,1046730.9,700514.9,654636.2,871579,502283,368914,64.32%,71.70%,56.35%,83743,4878,150,68,6,94,0,94,134,92,42,30,0,138,422,890,278,612,62,118,182,0,56,878,0,168,2,24,0,212,1244
NAGALAND,2010,1979655.4,548148.1,1431507.3,1026898.2,952757.2,1550189,838483,711624,78.31%,81.65%,74.69%,16579,2118,90,70,26,32,0,32,100,12,88,6,0,126,124,794,160,634,4,26,78,6,2,72,0,26,6,2,0,44,484
MANIPUR,2010,2799604.2,808335.4,1991268.8,1410922.6,1388681.6,2131423,1171193,961023,76.13%,83.01%,69.20%,22327,5430,184,516,2,68,0,68,398,214,184,0,392,4,132,834,508,326,130,48,118,14,172,454,0,62,0,36,0,2,1864
MIZORAM,2010,1076342.7,558694.5,517648.2,545716,530626.7,979967,507974,472024,91.05%,93.08%,88.96%,21081,4348,96,54,14,184,0,184,18,0,18,6,0,32,850,1646,138,1508,0,50,158,24,30,232,0,150,0,6,0,88,710
TRIPURA,2010,3626445.6,919882.7,2706562.9,1851160.9,1775284.7,3113811,1692405,1437945,85.86%,91.42%,81.00%,10486,11610,300,126,16,476,0,476,228,182,46,32,4,130,442,914,128,786,326,106,244,12,102,2272,50,752,18,1874,0,474,2712
MEGHALAYA,2010,2902082.3,581316.1,2320766.2,1460257.5,1441824.8,2127749,1094740,1032952,73.32%,74.97%,71.64%,22429,5010,268,120,16,298,0,298,142,74,68,84,2,134,332,1328,304,1024,14,74,196,8,104,308,0,96,0,48,0,106,1332
ASSAM,2010,30750571.2,4302611.8,26447959.4,15723202.4,15027368.8,21955600,12147432,9804757,71.40%,77.26%,65.25%,78438,123336,2446,862,92,3442,10,3432,6500,5534,966,496,24,1324,6916,15720,4248,11472,4366,1984,2742,136,874,11488,350,2800,40,10820,0,5694,44220
WEST BENGAL,2010,90166123.2,28426426.9,61739696.3,46274722.8,43891400.4,68207066,37611632,30508035,75.65%,81.28%,69.51%,88752,259232,4796,4222,1260,4622,0,4622,6690,5528,1162,576,1374,1596,776,38778,8246,30532,13618,2022,6520,428,662,25528,1014,4930,326,35592,16,5694,98192
JHARKHAND,2010,32383903.5,7739129,24644774.5,16625787.2,15758116.3,21108476,12627285,8480388,65.18%,75.95%,53.82%,79716,77778,3378,2056,164,1546,0,1546,1956,1392,564,670,38,1418,2714,14180,5418,8762,4894,1010,1976,32,370,8542,552,490,32,1300,16,3490,26954
ODISHA,2010,41457262.2,6855014.2,34602248,20956979.4,20500282.8,29826013,16980602,12854907,71.94%,81.03%,62.71%,155707,112918,2616,2872,62,2050,0,2050,2032,1824,208,692,234,2982,5710,15144,5254,9890,3558,644,2216,58,860,14362,776,5810,464,4134,10,6900,38732
CHHATTISGARH,2010,25074058.5,5762088,19311970.5,12597027.3,12477031.2,17494171,10081275,7418344,69.77%,80.03%,59.46%,135192,109916,2130,1512,60,2024,0,2024,718,558,160,244,30,1104,7422,11610,4278,7332,2184,392,1626,118,638,20376,230,3412,364,1722,4,5814,46182
MADHYA PRADESH,2010,71398930.4,19659179,51739751.4,36995440.6,34403489.8,49121750,29055109,20072372,68.80%,78.54%,58.34%,308252,428538,4846,4554,246,6270,0,6270,2374,2060,314,220,220,3838,19794,43154,22706,20448,5212,1014,3558,66,1496,78386,1784,13292,1836,7512,10,14076,214780
GUJARAT,2010,59462824.5,25063599.7,34399224.8,30980691.7,28482132.8,45919572,26403295,19530768,77.22%,85.23%,68.57%,196244,232878,2096,924,88,816,0,816,2894,2580,314,372,36,2768,8142,33588,19634,13954,3246,2428,2004,510,520,20262,38,1336,220,11200,0,11814,127576
Daman and Diu,2010,234742.7,170300.7,64442,144522.1,90220.6,203050,131842,70942,86.50%,91.23%,78.63%,111,406,10,4,2,2,0,2,4,4,0,12,0,0,54,94,58,36,22,8,10,0,0,24,0,4,0,6,0,76,74
Dadra and Nagar Haveli,2010,331387.1,149581.8,181805.3,186550.6,144836.5,247576,156675,90069,74.71%,83.99%,62.19%,491,756,12,0,2,6,0,6,36,20,16,4,0,6,50,126,68,58,88,24,36,2,4,22,0,22,4,6,0,40,266
MAHARASHTRA,2010,110824762.4,49846531.1,60978231.3,57458810,53365952.4,90691228,50660858,40042609,81.83%,88.17%,75.03%,307713,416336,5488,3852,304,3198,0,3198,3016,2248,768,1556,570,7442,33234,105130,37352,67778,16824,3896,17368,778,2458,59392,786,7322,2360,14868,0,27016,99478
ANDHRA PRADESH,2010,83743700,27478061.5,56265638.5,42050672.7,41693027.3,55630102,31318080,24328715,66.43%,74.48%,58.35%,275045,362876,5076,3906,310,2724,0,2724,4106,3062,1044,268,4,1100,16400,53512,14844,38668,4462,2260,18328,372,1850,93554,1176,9268,9124,24160,0,28170,82746
KARNATAKA,2010,60270823.5,23059518.7,37211304.8,30559883.1,29710940.4,44918639,25013876,19911381,74.53%,81.85%,67.02%,191791,284644,3610,3700,188,1172,0,1172,2748,1172,1576,544,600,3898,12118,40186,21680,18506,15420,928,11086,384,572,43670,496,5088,166,6882,0,942,130246
GOA,2010,1447457.3,883190.3,564267,733950.8,713506.5,1274660,677238,597526,88.06%,92.27%,83.75%,3702,6586,70,54,6,72,0,72,50,36,14,4,0,78,736,2068,718,1350,128,114,234,66,46,354,2,72,32,34,0,512,1854
LAKSHADWEEP,2010,64090.7,47995.5,16095.2,32923.8,31166.9,58590,31383,27212,91.42%,95.32%,87.31%,30,84,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,6,0,0,0,4,2,0,0,0,0,0,0,52
KERALA,2010,33249592.3,15168125.9,18081466.4,15971532.2,17278060.1,31152208,15319734,15679667,93.69%,95.92%,90.75%,38852,296626,726,722,172,1268,0,1268,522,368,154,148,442,1272,5364,8760,2972,5788,17448,686,7162,108,748,37064,44,5872,1074,9594,0,94,197336
TAMIL NADU,2010,71172894.9,34174095.8,36998799.1,35664268.4,35508626.5,56531207,30787536,25761864,79.43%,86.33%,72.55%,130060,371356,3750,5282,64,1372,0,1372,3440,2928,512,170,24,3634,9430,29166,10090,19076,5328,354,6518,624,1272,42618,330,2810,1276,3140,0,29288,221466
PUDUCHERRY,2010,1220592.2,832339.6,388252.6,599956,620636.2,1042557,546098,496608,85.41%,91.02%,80.02%,490,7870,66,38,32,6,0,6,34,28,6,4,20,10,144,1068,768,300,262,24,154,6,20,1612,2,92,44,14,0,484,3734
Andaman and Nicobar,2010,378138.1,140759,237379.1,201881.1,176257,325520,181390,144030,86.09%,89.85%,81.72%,8249,1960,18,14,8,48,0,48,20,16,4,2,0,14,160,242,44,198,22,20,112,0,24,160,0,62,20,18,0,18,978
Jammu and Kashmir,2011,12541302,3433242,9108060,6640662,5900640,8422738,5096708,3329731,67.16%,76.75%,56.43%,222236,49008,338,988,58,554,0,554,2154,2046,108,28,0,176,3032,5310,1860,3450,2810,390,1224,78,410,492,22,2388,700,572,0,770,26514
HIMACHAL PRADESH,2011,6864602,688552,6176050,3481873,3382729,5683890,3117321,2568506,82.80%,89.53%,75.93%,55673,28624,260,100,12,336,0,336,424,382,42,2,0,20,1990,2084,712,1372,1060,286,718,8,220,2502,8,662,124,478,0,1126,16204
PUNJAB,2011,27743338,10399146,17344192,14639465,13103873,21040548,11775986,9268369,75.84%,80.44%,70.73%,50362,69766,1684,1994,224,958,0,958,1362,1034,328,56,286,472,4976,9568,4214,5354,0,562,7142,116,166,9514,286,564,62,2272,0,7152,20350
CHANDIGARH,2011,1055450,1026459,28991,580663,474787,908215,522539,385480,86.05%,89.99%,81.19%,114,7084,48,80,12,54,0,54,116,92,24,12,4,136,570,3004,1830,1174,132,50,510,0,18,90,4,42,24,92,0,14,2072
UTTARAKHAND,2011,10086292,3049338,7036954,5137773,4948519,7950015,4490414,3464458,78.82%,87.40%,70.01%,53483,17548,356,378,108,258,0,258,628,566,62,26,2,358,684,4186,1680,2506,802,230,1038,52,34,1704,166,232,144,614,0,1392,4156
Hariyana,2011,25351462,8842103,16509359,13494734,11856728,19153030,11343673,7818326,75.55%,84.06%,65.94%,44212,121482,2124,1702,120,1466,0,1466,1918,1466,452,334,352,1276,10022,34850,25082,9768,2932,1624,3522,36,332,6846,510,948,980,5480,0,3010,41098
Delhi,2011,16787941,16368899,419042,8987326,7800615,14472884,8173074,6299777,86.21%,90.94%,80.76%,1483,106706,1086,772,142,1144,0,1144,7534,4170,3364,66,50,1124,2838,45798,29336,16462,100,674,5180,88,84,3892,284,1314,324,3150,0,2336,28726
RAJASTHAN,2011,68548437,17048085,51500352,35550997,32997440,45317372,28152835,17198266,66.11%,79.19%,52.12%,342239,331244,2922,3132,200,3600,0,3600,6408,5426,982,56,144,1454,9020,42198,25132,17066,1502,1482,34994,112,946,35954,1028,4894,18,24436,0,16244,140500
UTTAR PRADESH,2011,199812341,44495063,155317278,104480510,95331831,135232992,80742538,54510741,67.68%,77.28%,57.18%,240928,390270,9902,9306,2908,4084,0,4084,17000,15050,1950,758,78,6296,11530,73366,42726,30640,10044,7442,19882,540,954,24468,4644,6910,6,14242,0,28760,137150
BIHAR,2011,104099452,11758016,92341436,54278157,49821295,64333461,38646048,25657967,61.80%,71.20%,51.50%,94163,271792,6396,6654,696,1868,2,1866,8536,6100,2436,1112,210,2762,7258,32584,10082,22502,19536,3482,7552,128,1410,38782,2826,1580,22,5214,20,11754,111410
SIKKIM,2011,610577,153578,456999,323070,287507,497132,279617,217384,81.42%,86.55%,75.61%,7096,1192,28,14,16,32,0,32,20,20,0,0,0,10,120,144,16,128,50,8,62,6,8,150,0,48,0,8,0,114,354
ARUNACHAL PRADESH,2011,1383727,317369,1066358,713912,669815,904681,517943,386483,65.38%,72.55%,57.70%,83743,4572,130,58,4,84,0,84,186,120,66,26,0,128,366,828,304,524,98,108,148,4,68,758,0,102,0,36,0,196,1244
NAGALAND,2011,1978502,570966,1407536,1024649,953853,1573898,847897,725978,79.55%,82.75%,76.11%,16579,2166,92,86,22,46,0,46,68,6,62,14,0,118,146,720,170,550,2,32,62,10,4,110,0,18,0,2,0,30,584
MANIPUR,2011,2855794,834154,2021640,1438586,1417208,2197248,1202370,995730,76.94%,83.58%,70.26%,22327,6436,156,490,8,106,0,106,338,232,106,2,308,14,104,1438,1106,332,140,84,252,24,198,584,2,76,0,78,0,4,2030
MIZORAM,2011,1097206,571771,525435,555339,541867,1002078,518409,483725,91.33%,93.35%,89.27%,21081,3642,52,48,16,154,0,154,12,0,12,2,0,12,672,1468,78,1390,0,42,132,4,38,194,0,144,2,18,0,74,558
TRIPURA,2011,3673917,961453,2712464,1874376,1799541,3204390,1734360,1488760,87.22%,92.53%,82.73%,10486,11606,326,150,0,410,0,410,308,232,76,22,0,100,454,988,118,870,350,108,198,18,116,2680,60,588,18,1404,0,28,3280
MEGHALAYA,2011,2966889,595450,2371439,1491832,1475057,2208255,1133046,1075169,74.43%,75.95%,72.89%,22429,5510,340,102,6,260,0,260,174,74,100,98,0,126,290,1392,380,1012,16,104,332,26,68,394,2,148,2,42,6,180,1402
ASSAM,2011,31205576,4398542,26807034,15939443,15266133,22527305,12408856,10116866,72.19%,77.85%,66.27%,78438,133428,2606,1008,96,3400,0,3400,7528,6384,1144,610,8,1674,6654,16618,1170,15448,4656,1840,2990,120,1012,12612,242,2386,16,10492,4,5830,51026
WEST BENGAL,2011,91276115,29093002,62183113,46809027,44467088,69698441,38238294,31367084,76.36%,81.69%,70.54%,88752,286394,4218,4484,972,4726,0,4726,8570,7422,1148,472,1878,1520,910,42892,9284,33608,12038,2528,8342,414,826,26188,1020,4726,400,39544,0,6498,113228
JHARKHAND,2011,32988134,7933061,25055073,16930315,16057819,21907420,13009254,8899243,66.41%,76.84%,55.42%,79716,71676,3494,1436,166,1568,0,1568,1882,1320,562,618,80,1228,2470,12756,3744,9012,4266,894,1814,44,276,8806,564,634,14,1318,12,3456,23880
ODISHA,2011,41974218,7003656,34970562,21212136,20762082,30586613,17306982,13289809,72.87%,81.59%,64.01%,155707,122554,2954,3242,102,2224,0,2224,2278,2016,262,834,168,3166,6062,17448,5972,11476,3112,500,2782,20,846,15788,930,6414,470,4640,0,7556,41018
CHHATTISGARH,2011,25545198,5937237,19607961,12832895,12712303,17953165,10300965,7657891,70.28%,80.27%,60.24%,135192,114436,2220,1494,56,2106,0,2106,944,730,214,136,14,940,7096,10630,4584,6046,1868,360,1960,130,578,22210,208,3308,348,1668,4,5712,50446
MADHYA PRADESH,2011,72626809,20069405,52557404,37612306,35014503,50344904,29612169,20742592,69.32%,78.73%,59.24%,308252,434188,5022,4680,278,6812,0,6812,2576,2176,400,236,234,3904,20460,44828,23190,21638,4160,1114,3720,24,1568,71422,1622,13330,1524,7464,90,14956,224164
GUJARAT,2011,60439692,25745083,34694609,31491260,28948432,47161092,27003755,20171267,78.03%,85.75%,69.68%,196244,246742,2252,956,86,878,0,878,3228,2884,344,442,48,2736,9018,32086,17868,14218,3230,2678,2798,512,526,20318,60,1370,186,12104,0,11654,139576
Daman and Diu,2011,243247,182851,60396,150301,92946,211868,137586,73939,87.10%,91.54%,79.55%,111,448,12,2,0,2,0,2,6,4,2,8,0,12,62,94,66,28,38,6,20,4,0,22,0,0,0,4,0,86,70
Dadra and Nagar Haveli,2011,343709,160595,183114,193760,149949,262387,165025,96447,76.34%,85.17%,64.32%,491,744,28,4,0,8,0,8,18,16,2,14,0,4,44,138,86,52,40,20,36,4,10,50,0,4,0,6,0,48,268
MAHARASHTRA,2011,112374333,50818259,61556074,58243056,54131277,92529026,51475213,41069400,82.34%,88.38%,75.87%,307713,409804,5636,4210,288,3402,0,3402,3338,2504,834,1546,582,8498,32626,106898,38540,68358,17112,3766,18196,702,2510,59538,678,7588,2142,14272,0,26048,90228
ANDHRA PRADESH,2011,84580777,28219075,56361702,42442146,42138631,56686037,31780679,24925000,67.02%,74.88%,59.15%,275045,379560,5616,4458,342,2884,0,2884,4308,3224,1084,252,14,1200,16600,56534,17932,38602,4420,2348,19496,448,2042,108904,1198,9698,7316,26752,0,27946,76784
KARNATAKA,2011,61095297,23625962,37469335,30966657,30128640,46041416,25538202,20511578,75.36%,82.47%,68.08%,191791,275200,3640,3674,170,1272,0,1272,2790,1430,1360,428,798,4246,12272,39668,20452,19216,14530,880,11700,210,462,42590,534,5216,162,7424,24,1500,121010
GOA,2011,1458545,906814,551731,739140,719405,1293729,684813,609048,88.70%,92.65%,84.66%,3702,6898,96,44,12,58,0,58,56,34,22,4,0,52,636,2230,926,1304,148,90,284,62,48,430,2,58,24,36,0,526,2002
LAKSHADWEEP,2011,64473,50332,14141,33123,31350,59218,31652,27572,91.85%,95.56%,87.95%,30,88,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,8,10,2,0,0,6,6,0,0,0,0,0,0,54
KERALA,2011,33406061,15934926,17471135,16027412,17378649,31401697,15403946,15826736,94.00%,96.11%,91.07%,38852,344274,730,1042,210,2264,0,2264,598,442,156,142,490,1482,6002,9408,2908,6500,21508,680,10310,112,900,43494,30,7512,1146,10754,0,130,225330
TAMIL NADU,2011,72147030,34917440,37229590,36137975,36009055,57782556,31356921,26445050,80.09%,86.77%,73.44%,130060,385758,3754,5924,56,1354,0,1354,3968,3486,482,202,22,4132,9696,27848,9822,18026,6018,476,7744,550,1412,42334,304,2934,928,3624,0,32152,230326
PUDUCHERRY,2011,1247953,852753,395200,612511,635442,1071368,558978,512611,85.85%,91.26%,80.67%,490,8724,64,44,24,14,0,14,24,18,6,10,20,22,130,1414,1022,392,250,18,108,8,20,1706,2,70,32,20,0,486,4238
Andaman and Nicobar,2011,380581,143488,237093,202871,177710,329697,183132,146486,86.63%,90.27%,82.43%,8249,1586,28,12,4,26,0,26,30,24,6,2,0,2,198,176,8,168,22,6,64,0,12,162,0,30,6,10,0,12,784
Jammu and Kashmir,2012,12781062.2,3524902.4,9256159.8,6768635.6,6012426.6,8746081,5269383,3480654,68.43%,77.85%,57.89%,222236,49216,248,1022,32,606,0,606,2186,2082,104,12,0,162,2790,4044,1114,2930,2800,326,1224,34,380,644,16,2644,694,602,0,742,28008
HIMACHAL PRADESH,2012,6943272.2,697849.1,6245423.1,3521266.3,3422005.9,5788398,3164949,2625192,83.37%,89.88%,76.72%,55673,25114,226,106,18,366,0,366,344,304,40,2,0,20,1856,1538,530,1008,988,274,746,2,262,2346,4,500,136,502,0,1124,13754
PUNJAB,2012,28081771.9,10612809.5,17468962.4,14804907,13276864.9,21462617,11980279,9486054,76.43%,80.92%,71.45%,50362,71580,1710,2090,208,1360,2,1358,1838,1378,460,96,368,426,5656,10544,4022,6522,2,578,6902,98,148,8372,236,680,62,2586,0,6810,20810
CHANDIGARH,2012,1070931.5,1048253.4,22678.1,588035.5,482896,926131,531725,394256,86.48%,90.42%,81.64%,114,7212,42,88,10,54,0,54,174,132,42,6,18,126,470,3098,1788,1310,98,68,468,4,18,84,10,90,50,146,0,6,2084
UTTARAKHAND,2012,10959556.8,3315480.5,7644076.3,5582862.7,5376694.1,8709998,4898348,3816646,79.47%,87.74%,70.99%,53483,17764,434,322,88,296,0,296,594,512,82,58,6,288,782,3826,1898,1928,738,274,1058,44,34,2044,142,278,146,736,0,1340,4236
Hariyana,2012,25772151.8,9114782.9,16657368.9,13707812.1,12064339.7,19650235,11588721,8071405,76.25%,84.54%,66.90%,44212,124960,1982,1820,136,1336,0,1336,2698,1800,898,408,352,1422,10258,35180,25958,9222,2848,1480,3596,40,382,6554,516,1050,868,6274,0,2968,42792
Delhi,2012,17081684.4,16715210.9,366473.5,9125335.2,7956349.2,14801109,8331157,6471376,86.65%,91.30%,81.34%,1483,108574,1042,878,164,1412,0,1412,7940,4320,3620,56,26,1216,3430,44064,28782,15282,158,682,4982,122,158,3494,268,1454,416,3970,0,1826,30816
RAJASTHAN,2012,69752561.9,17431456,52321105.9,36164095.6,33588466.3,46467762,28737075,17767627,66.62%,79.46%,52.90%,342239,341896,2922,3076,196,4098,0,4098,6486,5394,1092,62,148,1614,9220,46628,28214,18414,1146,1364,39292,98,950,35228,956,4704,36,26624,0,16568,140480
UTTAR PRADESH,2012,203173783,45490611.1,157683171.9,106172024.1,97001758.9,139604770,82798253,56843031,68.71%,77.99%,58.60%,240928,396186,9932,9622,2820,3926,0,3926,17756,15820,1936,644,136,6318,12374,74752,45546,29206,11352,7276,21426,410,654,24580,4488,6494,16,15322,0,28812,137076
BIHAR,2012,106209546.3,12065637.6,94143908.7,55381593.2,50827953.1,67153110,39535812,27087741,63.23%,71.39%,53.29%,94163,293228,7132,10904,570,1854,0,1854,9614,7578,2036,1080,108,2532,7516,35334,12808,22526,21742,3300,7866,80,1598,91654,2550,236,74,7372,8,9262,70842
SIKKIM,2012,617549.6,162948.8,454600.8,326528.6,291021,510059,285817,224159,82.59%,87.53%,77.03%,7096,1056,14,14,0,68,0,68,20,20,0,0,0,12,130,234,34,200,44,6,62,2,40,182,2,38,0,8,0,64,116
ARUNACHAL PRADESH,2012,1412302.9,326317.8,1085985.1,727309.1,684993.8,938391,533830,404461,66.44%,73.40%,59.05%,83743,4840,146,58,2,92,0,92,164,116,48,40,0,130,430,804,190,614,56,110,170,2,66,876,2,134,4,52,0,188,1314
NAGALAND,2012,1977348.6,593783.9,1383564.7,1022399.8,954948.8,1597579,857262,740362,80.79%,83.85%,77.53%,16579,2180,150,84,12,42,0,42,54,20,34,2,0,108,130,762,130,632,6,44,78,8,14,60,0,32,0,0,0,62,532
MANIPUR,2012,2911983.8,859972.6,2052011.2,1466249.4,1445734.4,2263980,1233864,1031040,77.75%,84.15%,71.32%,22327,7474,166,818,8,126,0,126,446,266,180,16,342,6,106,1806,1472,334,144,134,272,4,148,570,0,98,2,86,0,4,2172
MIZORAM,2012,1118069.3,584847.5,533221.8,564962,553107.3,1024308,528895,495496,91.61%,93.62%,89.58%,21081,3532,60,42,14,206,0,206,16,6,10,4,0,8,694,1210,48,1162,2,24,84,12,24,206,0,170,0,16,0,68,672
