STATE,YEAR,POPULATION,URBAN,RURAL,Population Males,Population Females,Total Literacy,Male Literacy,Female Literacy,Literacy Rate,Male Literacy,Female Literacy,"Area
 (In sq. km)",TOTAL CRIMES,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES
NAGALAND,2009,1980808.8,525330.2,1455478.6,1029147.4,951661.4,1526451,829019,697301,77.06%,80.55%,73.27%,16579,2118,92,70,14,44,0,44,104,20,84,16,0,184,164,694,138,556,8,12,66,6,8,76,0,22,0,0,0,68,470
MANIPUR,2009,2743414.4,782516.8,1960897.6,1383259.2,1360155.2,2066504,1140331,926919,75.33%,82.44%,68.15%,22327,5704,262,956,4,62,0,62,318,194,124,2,376,6,136,788,566,222,96,40,192,2,162,448,0,78,4,50,0,0,1722
MIZORAM,2009,1055479.4,545618,509861.4,536093,519386.4,957974,497591,460394,90.76%,92.82%,88.64%,21081,4094,62,28,16,166,2,164,18,0,18,4,0,8,762,1522,154,1368,2,60,122,18,48,240,0,122,2,8,0,72,814
TRIPURA,2009,3578974.2,878312.4,2700661.8,1827945.8,1751028.4,3024520,1650964,1387970,84.51%,90.32%,79.27%,10486,10972,266,118,4,380,0,380,242,184,58,14,0,154,462,830,78,752,356,104,220,40,124,2094,58,768,10,1630,0,450,2648
MEGHALAYA,2009,2837275.6,567182.2,2270093.4,1428683,1408592.6,2048683,1057054,991565,72.21%,73.99%,70.39%,22429,4896,256,78,24,224,0,224,112,52,60,128,2,134,294,1090,360,730,36,52,226,18,108,414,0,144,2,48,2,144,1360
ASSAM,2009,30295566.4,4206681.6,26088884.8,15506961.8,14788604.6,21391094,11888567,9497538,70.61%,76.67%,64.22%,78438,110626,2646,834,70,3262,0,3262,5436,4184,1252,502,42,1360,6298,15288,3426,11862,3616,1604,2196,168,952,13094,340,2684,20,8796,2,5470,35946
WEST BENGAL,2009,89056131.4,27759851.8,61296279.6,45740418.6,43315712.8,66731540,36989362,29660867,74.93%,80.87%,68.48%,88752,226072,4136,4238,1862,4672,0,4672,5500,4374,1126,428,1448,1502,658,34266,7418,26848,13400,1836,6596,306,688,22392,1012,3884,216,32224,10,7246,77552
JHARKHAND,2009,31779673,7545197,24234476,16321259.4,15458413.6,20324372,12250737,8071147,63.95%,75.06%,52.21%,79716,74872,3272,2548,208,1438,0,1438,1654,1034,620,824,106,1560,2784,15432,5980,9452,4624,946,1820,30,406,8264,590,552,166,1420,12,3356,22860
ODISHA,2009,40940306.4,6706372.4,34233934,20701822.8,20238483.6,29074987,16657101,12426834,71.02%,80.46%,61.40%,155707,111480,2500,2462,96,2046,0,2046,1860,1598,262,760,126,2976,5874,14272,5042,9230,3436,516,2274,68,826,13632,768,5394,420,4094,2,5958,41120
CHHATTISGARH,2009,24602919,5586939,19015980,12361159.6,12241759.4,17039982,9862722,7182485,69.26%,79.79%,58.67%,135192,102740,2166,1464,38,1952,0,1952,572,458,114,268,32,1108,7950,11584,4362,7222,1914,332,1364,136,670,19086,256,3196,304,1786,0,5470,41092
